ID,Individuals,Adults,Region,OpenFridge,UsedOven,CupsCoffee,CoffeeStrength,StepsDay,SleepNight,Weather,Product1,Product2,Product3,InAppPurchase,SalesVol,AppFaceTime,UserSat,NPS
217,2.0,1.0,GER,13.0,1.0,10.0,2.0,4925,8.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,2
218,4.0,2.0,UK,14.0,2.0,0.0,0.0,4985,11.0,Sunny,5.0,10.0,9.0,No,0.0,0.0,5,3
221,3.0,2.0,UK,13.0,3.0,9.0,2.0,4375,8.0,Average,4.0,10.0,0.0,No,0.0,360.0,5,2
223,3.0,2.0,UK,14.0,2.0,8.0,1.0,5400,9.0,Average,6.0,11.0,9.0,No,0.0,129.0,5,3
225,1.0,1.0,GER,12.0,2.0,11.0,1.0,5320,8.0,Sunny,6.0,11.0,9.0,No,0.0,204.0,4,1
226,2.0,2.0,UK,15.0,2.0,0.0,0.0,4935,12.0,Average,5.0,10.0,7.0,No,0.0,214.0,5,3
229,1.0,1.0,UK,13.0,2.0,11.0,2.0,5310,8.0,Average,6.0,11.0,9.0,No,0.0,0.0,5,2
230,1.0,1.0,UK,13.0,1.0,8.0,1.0,5875,9.0,Sunny,8.0,15.0,10.0,No,0.0,300.0,5,3
232,3.0,2.0,UK,12.0,1.0,10.0,2.0,4495,8.0,Rainy,3.0,9.0,0.0,No,0.0,0.0,4,1
233,1.0,1.0,GER,13.0,2.0,9.0,1.0,4500,8.0,Average,4.0,10.0,0.0,No,0.0,360.0,5,2
234,2.0,1.0,NL,12.0,2.0,0.0,0.0,4900,10.0,Sunny,5.0,10.0,8.0,No,0.0,123.0,4,1
239,3.0,2.0,GER,13.0,2.0,10.0,2.0,4215,8.0,Sunny,4.0,10.0,0.0,No,0.0,0.0,5,2
242,2.0,1.0,NL,13.0,2.0,11.0,2.0,5440,8.0,Average,6.0,11.0,9.0,No,0.0,230.0,5,3
244,2.0,1.0,NL,13.0,1.0,10.0,2.0,4020,8.0,Average,3.0,9.0,0.0,No,0.0,0.0,5,2
245,,2.0,UK,13.0,2.0,9.0,2.0,4720,8.0,Sunny,5.0,10.0,8.0,No,0.0,0.0,5,2
251,2.0,2.0,GER,14.0,2.0,12.0,3.0,5165,8.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,5,3
252,2.0,2.0,GER,13.0,2.0,10.0,1.0,4960,8.0,Sunny,5.0,10.0,9.0,No,0.0,292.0,5,2
256,2.0,2.0,UK,12.0,1.0,0.0,0.0,4970,12.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,4,1
257,2.0,1.0,GER,14.0,2.0,11.0,2.0,5220,8.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,5,3
258,3.0,2.0,NL,13.0,2.0,12.0,2.0,4120,7.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,2
259,2.0,2.0,UK,13.0,3.0,0.0,0.0,4980,12.0,Average,5.0,10.0,8.0,No,0.0,249.0,5,2
268,2.0,2.0,GER,15.0,2.0,6.0,1.0,5075,9.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,3
269,2.0,2.0,GER,13.0,2.0,0.0,0.0,5555,9.0,Sunny,6.0,11.0,9.0,No,0.0,267.0,5,3
275,,2.0,GER,13.0,2.0,11.0,3.0,5345,8.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,5,3
282,3.0,2.0,NL,13.0,1.0,10.0,2.0,4570,8.0,Average,4.0,10.0,0.0,No,0.0,0.0,5,2
284,4.0,2.0,GER,15.0,2.0,10.0,2.0,4040,8.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,3
286,4.0,2.0,GER,12.0,1.0,12.0,3.0,5105,8.0,Sunny,5.0,11.0,9.0,No,0.0,0.0,4,1
289,3.0,2.0,UK,14.0,1.0,11.0,2.0,5095,8.0,Average,5.0,10.0,8.0,No,0.0,0.0,5,3
290,3.0,2.0,UK,20.0,5.0,9.0,2.0,4380,8.0,Rainy,2.0,9.0,10.0,No,0.0,1104.0,6,6
292,1.0,1.0,NL,13.0,2.0,10.0,2.0,4605,8.0,Rainy,2.0,9.0,0.0,No,0.0,0.0,5,1
293,2.0,2.0,GER,13.0,2.0,12.0,3.0,5695,8.0,Sunny,7.0,12.0,9.0,No,0.0,0.0,5,3
300,2.0,1.0,NL,13.0,3.0,11.0,1.0,5690,8.0,Sunny,7.0,12.0,9.0,No,0.0,0.0,5,3
304,1.0,1.0,GER,2.0,2.0,10.0,2.0,4590,8.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,1,1
305,2.0,2.0,UK,12.0,2.0,12.0,1.0,4415,7.0,Sunny,4.0,10.0,2.0,No,0.0,0.0,4,1
306,1.0,1.0,GER,13.0,2.0,12.0,2.0,5330,8.0,Average,6.0,11.0,9.0,No,0.0,300.0,5,2
309,1.0,1.0,UK,13.0,2.0,0.0,0.0,4905,10.0,Average,5.0,10.0,7.0,No,0.0,0.0,5,2
315,2.0,1.0,GER,14.0,1.0,0.0,0.0,4420,8.0,Average,4.0,10.0,0.0,No,0.0,396.0,5,3
319,3.0,2.0,GER,16.0,4.0,0.0,0.0,5290,9.0,Average,6.0,11.0,13.0,No,0.0,1704.0,5,4
326,3.0,2.0,GER,14.0,2.0,9.0,1.0,4685,8.0,Rainy,2.0,9.0,0.0,No,0.0,324.0,5,3
330,1.0,1.0,UK,12.0,2.0,0.0,0.0,5035,9.0,Sunny,5.0,10.0,9.0,No,0.0,0.0,4,1
332,2.0,1.0,UK,13.0,2.0,7.0,1.0,5955,9.0,Sunny,7.0,11.0,10.0,No,0.0,0.0,5,3
334,2.0,2.0,UK,13.0,2.0,11.0,2.0,5300,8.0,Average,6.0,11.0,9.0,No,0.0,242.0,5,2
336,2.0,1.0,GER,12.0,1.0,0.0,0.0,5215,9.0,Average,6.0,11.0,9.0,No,0.0,0.0,4,1
338,4.0,2.0,UK,13.0,2.0,9.0,1.0,3965,8.0,Average,3.0,9.0,0.0,No,0.0,227.0,5,1
348,3.0,2.0,GER,13.0,2.0,8.0,2.0,5155,9.0,Average,5.0,10.0,8.0,No,0.0,214.0,5,2
350,3.0,2.0,GER,12.0,2.0,11.0,2.0,5110,8.0,Sunny,5.0,11.0,9.0,No,0.0,420.0,4,1
351,4.0,2.0,UK,14.0,2.0,9.0,1.0,4610,8.0,Rainy,3.0,9.0,0.0,No,0.0,0.0,5,3
352,3.0,2.0,GER,13.0,2.0,11.0,2.0,5295,8.0,Average,6.0,11.0,9.0,No,0.0,0.0,5,2
355,3.0,2.0,NL,3.0,2.0,0.0,0.0,4940,12.0,Rainy,1.0,9.0,0.0,No,0.0,123.0,3,1
356,2.0,1.0,GER,12.0,3.0,9.0,2.0,4915,8.0,Sunny,5.0,10.0,8.0,No,0.0,0.0,4,1
359,4.0,2.0,GER,14.0,2.0,0.0,0.0,4910,12.0,Sunny,5.0,10.0,8.0,No,0.0,0.0,5,3
361,1.0,1.0,GER,13.0,2.0,9.0,2.0,4265,8.0,Rainy,4.0,10.0,0.0,No,0.0,276.0,5,2
368,2.0,2.0,UK,12.0,3.0,11.0,2.0,6505,8.0,Sunny,8.0,15.0,10.0,No,0.0,292.0,5,1
370,4.0,2.0,UK,13.0,1.0,0.0,0.0,5840,9.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,2
375,2.0,1.0,UK,20.0,5.0,0.0,0.0,4915,10.0,Average,5.0,10.0,12.0,No,0.0,124.0,6,6
376,3.0,,GER,14.0,2.0,8.0,2.0,5975,9.0,Sunny,8.0,10.0,10.0,No,0.0,0.0,5,3
378,2.0,1.0,GER,2.0,3.0,9.0,1.0,4930,8.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,3,1
383,2.0,2.0,GER,16.0,5.0,8.0,2.0,4900,9.0,Sunny,5.0,10.0,13.0,No,0.0,360.0,5,4
396,4.0,2.0,GER,15.0,1.0,9.0,2.0,4895,8.0,Sunny,5.0,10.0,8.0,No,0.0,0.0,5,3
398,4.0,2.0,UK,12.0,2.0,0.0,0.0,4870,11.0,Rainy,3.0,9.0,0.0,No,0.0,0.0,4,1
401,4.0,2.0,UK,13.0,1.0,9.0,1.0,5000,8.0,Sunny,5.0,10.0,9.0,No,0.0,276.0,5,2
405,3.0,2.0,UK,21.0,4.0,0.0,0.0,4895,12.0,Average,5.0,10.0,12.0,No,0.0,1728.0,7,7
407,1.0,1.0,GER,12.0,3.0,11.0,2.0,5905,8.0,Sunny,8.0,10.0,10.0,No,0.0,0.0,5,1
408,2.0,2.0,GER,14.0,3.0,0.0,0.0,4820,8.0,Average,5.0,10.0,1.0,No,0.0,195.0,5,3
409,3.0,2.0,GER,14.0,3.0,11.0,2.0,5010,8.0,Average,5.0,10.0,8.0,No,0.0,270.0,5,3
419,2.0,2.0,UK,15.0,1.0,7.0,1.0,6245,9.0,Sunny,8.0,15.0,10.0,No,0.0,0.0,5,3
423,2.0,1.0,GER,14.0,1.0,10.0,2.0,4520,8.0,Average,4.0,10.0,0.0,No,0.0,234.0,5,3
429,3.0,2.0,UK,13.0,2.0,9.0,3.0,4805,8.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,2
433,4.0,2.0,UK,14.0,3.0,12.0,2.0,5070,8.0,Average,5.0,10.0,8.0,No,0.0,384.0,5,3
442,2.0,2.0,UK,13.0,2.0,0.0,0.0,5235,9.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,5,3
456,2.0,1.0,GER,13.0,2.0,10.0,2.0,4470,8.0,Average,4.0,10.0,0.0,No,0.0,408.0,5,2
459,2.0,1.0,GER,14.0,1.0,9.0,2.0,4970,8.0,Sunny,5.0,10.0,9.0,No,0.0,360.0,5,3
460,4.0,2.0,GER,13.0,2.0,10.0,2.0,4970,8.0,Rainy,2.0,9.0,0.0,No,0.0,0.0,5,1
461,2.0,2.0,GER,13.0,1.0,11.0,2.0,5620,8.0,Average,6.0,11.0,9.0,No,0.0,360.0,5,3
467,1.0,1.0,GER,12.0,2.0,11.0,2.0,6280,8.0,Average,5.0,10.0,8.0,No,0.0,0.0,4,1
468,3.0,2.0,GER,13.0,2.0,10.0,2.0,4915,8.0,Sunny,5.0,10.0,8.0,No,0.0,0.0,5,2
476,3.0,2.0,UK,15.0,2.0,10.0,2.0,4800,8.0,Average,5.0,10.0,2.0,No,0.0,0.0,5,3
478,2.0,2.0,GER,17.0,5.0,10.0,2.0,4740,8.0,Rainy,2.0,9.0,10.0,No,0.0,888.0,6,4
482,2.0,2.0,GER,13.0,2.0,11.0,2.0,5020,8.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,2
488,2.0,2.0,UK,13.0,2.0,11.0,2.0,5440,8.0,Rainy,2.0,9.0,0.0,No,0.0,0.0,5,1
491,2.0,2.0,GER,20.0,4.0,9.0,2.0,4760,8.0,Rainy,1.0,9.0,10.0,No,0.0,153.0,6,6
500,2.0,2.0,UK,15.0,5.0,7.0,1.0,5955,9.0,Sunny,8.0,10.0,15.0,No,0.0,840.0,5,3
501,4.0,2.0,GER,13.0,2.0,12.0,3.0,5490,8.0,Sunny,6.0,11.0,9.0,No,0.0,157.0,5,3
509,1.0,1.0,GER,14.0,2.0,12.0,3.0,5115,8.0,Average,5.0,10.0,8.0,No,0.0,0.0,5,3
516,3.0,2.0,GER,13.0,2.0,0.0,0.0,4230,8.0,Rainy,2.0,9.0,0.0,No,0.0,195.0,5,1
517,2.0,1.0,GER,14.0,1.0,9.0,1.0,4500,8.0,Average,4.0,10.0,0.0,No,0.0,0.0,5,3
518,3.0,2.0,NL,14.0,3.0,9.0,2.0,4885,8.0,Average,5.0,10.0,4.0,No,0.0,174.0,5,3
520,2.0,1.0,UK,13.0,3.0,9.0,1.0,3890,8.0,Average,3.0,9.0,0.0,No,0.0,300.0,5,1
522,4.0,2.0,GER,12.0,2.0,3.0,1.0,5280,9.0,Sunny,6.0,11.0,9.0,No,0.0,420.0,4,1
525,2.0,2.0,UK,12.0,2.0,10.0,3.0,4185,8.0,Average,4.0,9.0,0.0,No,0.0,135.0,4,1
526,3.0,2.0,UK,14.0,3.0,0.0,0.0,3955,8.0,Rainy,2.0,9.0,0.0,No,0.0,0.0,5,3
534,4.0,2.0,UK,13.0,2.0,10.0,2.0,4900,8.0,Average,5.0,10.0,6.0,No,0.0,0.0,5,2
537,3.0,2.0,UK,14.0,2.0,0.0,0.0,5315,9.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,5,3
539,4.0,2.0,GER,14.0,2.0,11.0,1.0,5385,8.0,Average,6.0,11.0,9.0,No,0.0,324.0,5,3
544,2.0,1.0,GER,13.0,2.0,12.0,3.0,4280,7.0,Average,4.0,10.0,0.0,No,0.0,0.0,5,2
546,2.0,2.0,GER,13.0,2.0,10.0,2.0,3740,8.0,Average,3.0,9.0,0.0,No,0.0,0.0,5,1
547,4.0,2.0,GER,13.0,2.0,7.0,1.0,5120,9.0,Rainy,2.0,9.0,0.0,No,0.0,0.0,5,1
557,3.0,2.0,GER,13.0,2.0,0.0,0.0,5025,9.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,2
558,4.0,2.0,UK,13.0,2.0,12.0,3.0,6060,8.0,Sunny,8.0,12.0,10.0,No,0.0,0.0,5,3
560,4.0,2.0,GER,14.0,1.0,12.0,3.0,4935,7.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,3
563,2.0,1.0,GER,14.0,2.0,0.0,0.0,5185,9.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,5,3
568,1.0,1.0,GER,13.0,3.0,12.0,2.0,5250,8.0,Average,6.0,11.0,9.0,No,0.0,300.0,5,2
571,4.0,2.0,UK,13.0,2.0,9.0,2.0,4905,8.0,Average,5.0,10.0,7.0,No,0.0,0.0,5,2
575,2.0,1.0,NL,12.0,1.0,10.0,3.0,3735,8.0,Sunny,3.0,9.0,0.0,No,0.0,0.0,4,1
577,4.0,2.0,UK,13.0,2.0,0.0,0.0,5225,9.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,5,3
578,2.0,2.0,GER,13.0,2.0,8.0,1.0,5760,9.0,Sunny,7.0,10.0,9.0,No,0.0,0.0,5,3
583,1.0,1.0,GER,13.0,2.0,0.0,0.0,4880,12.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,2
592,3.0,2.0,UK,21.0,5.0,9.0,2.0,4165,8.0,Average,4.0,9.0,11.0,No,0.0,1572.0,7,7
593,2.0,2.0,,6.0,2.0,9.0,2.0,4600,8.0,Rainy,3.0,9.0,0.0,No,0.0,294.0,4,1
612,3.0,2.0,GER,12.0,2.0,11.0,2.0,5740,8.0,Average,7.0,11.0,9.0,No,0.0,360.0,4,1
616,4.0,2.0,GER,14.0,3.0,10.0,2.0,3805,8.0,Average,3.0,9.0,0.0,No,0.0,408.0,5,3
618,3.0,2.0,UK,13.0,3.0,10.0,3.0,4845,8.0,Sunny,5.0,10.0,8.0,No,0.0,0.0,5,2
619,1.0,1.0,UK,13.0,3.0,9.0,1.0,4635,8.0,Rainy,1.0,8.0,0.0,No,0.0,0.0,5,1
621,2.0,2.0,GER,18.0,5.0,10.0,2.0,4555,8.0,Sunny,4.0,10.0,12.0,No,0.0,540.0,6,5
630,4.0,2.0,GER,13.0,2.0,13.0,3.0,4735,7.0,Rainy,2.0,9.0,0.0,No,0.0,348.0,5,1
638,1.0,1.0,UK,12.0,2.0,11.0,2.0,5490,8.0,Sunny,6.0,11.0,9.0,No,0.0,244.0,4,1
639,2.0,1.0,UK,14.0,1.0,10.0,3.0,4850,8.0,Average,5.0,10.0,2.0,No,0.0,139.0,5,3
642,3.0,2.0,GER,14.0,2.0,0.0,0.0,5910,9.0,Sunny,8.0,14.0,10.0,No,0.0,0.0,5,3
645,2.0,1.0,GER,13.0,2.0,0.0,0.0,5045,9.0,Sunny,5.0,10.0,9.0,No,0.0,294.0,5,2
648,1.0,1.0,GER,13.0,2.0,10.0,3.0,4910,8.0,Rainy,1.0,9.0,0.0,No,0.0,151.0,5,1
649,3.0,2.0,UK,20.0,5.0,8.0,2.0,4970,9.0,Average,5.0,10.0,12.0,No,0.0,1128.0,6,6
655,2.0,1.0,GER,13.0,2.0,0.0,0.0,5200,9.0,Rainy,4.0,10.0,0.0,No,0.0,336.0,5,2
656,3.0,2.0,UK,14.0,3.0,0.0,0.0,5140,9.0,Sunny,5.0,11.0,9.0,No,0.0,0.0,5,3
660,2.0,1.0,UK,12.0,1.0,11.0,2.0,5645,8.0,Sunny,7.0,12.0,9.0,No,0.0,0.0,4,1
664,2.0,1.0,GER,13.0,1.0,11.0,2.0,5315,8.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,5,3
666,3.0,2.0,GER,12.0,2.0,11.0,2.0,6030,8.0,Sunny,8.0,15.0,10.0,No,0.0,252.0,5,1
672,4.0,2.0,NL,14.0,2.0,10.0,2.0,4710,8.0,Average,5.0,10.0,2.0,No,0.0,0.0,5,3
676,1.0,1.0,GER,,,8.0,2.0,5320,9.0,Average,6.0,11.0,9.0,No,0.0,0.0,5,2
684,2.0,1.0,GER,13.0,3.0,0.0,0.0,5175,9.0,Average,6.0,11.0,9.0,No,0.0,0.0,5,2
702,2.0,1.0,GER,13.0,2.0,10.0,2.0,4110,8.0,Rainy,2.0,9.0,0.0,No,0.0,143.0,5,1
703,2.0,2.0,UK,2.0,3.0,9.0,1.0,4050,8.0,Rainy,2.0,9.0,0.0,No,0.0,0.0,2,1
707,3.0,2.0,GER,13.0,1.0,11.0,2.0,5175,8.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,5,3
709,1.0,1.0,NL,,2.0,9.0,2.0,3935,8.0,Average,3.0,9.0,0.0,No,0.0,0.0,5,3
710,2.0,2.0,UK,19.0,5.0,12.0,3.0,4725,7.0,Average,5.0,10.0,12.0,No,0.0,552.0,6,5
713,1.0,1.0,GER,12.0,1.0,11.0,2.0,5615,8.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,4,1
715,1.0,1.0,UK,14.0,1.0,13.0,2.0,4605,7.0,Sunny,4.0,10.0,1.0,No,0.0,0.0,5,3
719,3.0,2.0,GER,13.0,2.0,0.0,0.0,4930,11.0,Average,5.0,10.0,7.0,No,0.0,149.0,5,2
721,2.0,2.0,UK,13.0,3.0,9.0,1.0,4865,8.0,Average,5.0,10.0,3.0,No,0.0,0.0,5,2
722,2.0,1.0,GER,12.0,2.0,12.0,3.0,5425,8.0,Average,6.0,11.0,9.0,No,0.0,0.0,4,1
729,1.0,1.0,GER,12.0,2.0,13.0,3.0,4920,7.0,Average,5.0,10.0,7.0,No,0.0,0.0,4,1
731,4.0,2.0,NL,13.0,1.0,10.0,2.0,4405,8.0,Average,4.0,10.0,0.0,No,0.0,0.0,5,2
732,2.0,1.0,UK,14.0,2.0,11.0,2.0,6085,8.0,Average,8.0,13.0,10.0,No,0.0,0.0,5,3
733,4.0,2.0,UK,,2.0,10.0,2.0,4405,8.0,Sunny,4.0,10.0,2.0,No,0.0,135.0,4,1
737,2.0,1.0,GER,2.0,2.0,0.0,0.0,4915,8.0,Average,5.0,10.0,7.0,No,0.0,300.0,2,1
740,3.0,2.0,GER,21.0,5.0,11.0,2.0,5400,8.0,Sunny,6.0,11.0,14.0,No,0.0,1020.0,7,7
746,3.0,2.0,UK,13.0,2.0,8.0,1.0,5225,9.0,Average,6.0,11.0,9.0,No,0.0,336.0,5,2
756,4.0,2.0,GER,13.0,2.0,10.0,2.0,4805,8.0,Average,5.0,10.0,2.0,No,0.0,0.0,5,2
760,1.0,1.0,UK,,2.0,9.0,3.0,4570,8.0,Rainy,3.0,9.0,0.0,No,0.0,0.0,4,1
762,4.0,2.0,NL,12.0,1.0,12.0,3.0,5555,8.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,4,1
771,1.0,1.0,UK,13.0,2.0,13.0,2.0,4225,7.0,Average,4.0,9.0,0.0,No,0.0,189.0,5,2
776,2.0,2.0,UK,18.0,5.0,11.0,2.0,5675,8.0,Sunny,7.0,12.0,14.0,No,0.0,708.0,6,5
779,2.0,2.0,UK,13.0,1.0,10.0,3.0,4535,8.0,Average,4.0,10.0,0.0,No,0.0,230.0,5,2
780,2.0,2.0,GER,15.0,5.0,6.0,2.0,5835,9.0,Sunny,7.0,14.0,15.0,No,0.0,720.0,5,3
781,3.0,2.0,UK,,5.0,12.0,2.0,4245,7.0,Sunny,4.0,10.0,12.0,No,0.0,1344.0,10,10
